"PRIME CONSULTORIA E ASSESSORIA
EMPRESARIAL LTDA","PRIME CONSULTORIA E ASSESSORIA
EMPRESARIAL LTDA","PRIME CONSULTORIA E ASSESSORIA
EMPRESARIAL LTDA",05.340.639/0001-30,25/04/2023,POLÍCIA CIVIL DO DISTRITO FEDERAL,13/09/2023,Regular,Lei no 6.112/2018
QUALITY ALUGUEL DE VEÍCULOS S/A,QUALITY ALUGUEL DE VEÍCULOS S/A,QUALITY ALUGUEL DE VEÍCULOS S/A,72.653.009/0001-02,15/10/2020,"SECRETARIA DE ESTADO DE ECONOMIA DO
DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
"QUALLITY PRÓ SAÚDE PLANO DE
ASSISTÊNCIA MEDICA LTDA","QUALLITY PRÓ SAÚDE PLANO DE
ASSISTÊNCIA MEDICA LTDA","QUALLITY PRÓ SAÚDE PLANO DE
ASSISTÊNCIA MEDICA LTDA",09.433.795/0001-04,03/11/2022,"INSTITUTO DE PESQUISA E ESTATÍSTICA DO
DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
"RABELO COMÉRCIO DE AUTO PEÇAS -
EIRELI","RABELO COMÉRCIO DE AUTO PEÇAS -
EIRELI","RABELO COMÉRCIO DE AUTO PEÇAS -
EIRELI",11.210.857/0001-52,06/01/2023,"CORPO DE BOMBEIROS MILITAR DO DISTRITO
FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
REAL JG FACILITIES LTDA,REAL JG FACILITIES LTDA,REAL JG FACILITIES LTDA,08.247.960/0001-62,06/01/2023,"SECRETARIA DE ESTADO DE PLANEJAMENTO,
ORÇAMENTO E ADMINISTRAÇÃO DO
DISTRITO FEDERAL",11/07/2023,Regular,Lei no 6.112/2018
REAL JG FACILITIES LTDA,REAL JG FACILITIES LTDA,REAL JG FACILITIES LTDA,08.247.960/0001-62,23/03/2022,"SECRETARIA DE ESTADO DE EDUCAÇÃO DO
DISTRITO FEDERAL",11/07/2023,Regular,Lei no 6.112/2018
REAL JG FACILITIES LTDA,REAL JG FACILITIES LTDA,REAL JG FACILITIES LTDA,08.247.960/0001-62,30/03/2023,"SECRETARIA DE ESTADO DE EDUCAÇÃO DO
DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
REAL JG FACILITIES LTDA,REAL JG FACILITIES LTDA,REAL JG FACILITIES LTDA,08.247.960/0001-62,16/01/2023,POLÍCIA CIVIL DO DISTRITO FEDERAL,11/07/2023,Regular,Lei no 6.112/2018
RR GUILHERME AUTOMOVEIS LTDA,RR GUILHERME AUTOMOVEIS LTDA,RR GUILHERME AUTOMOVEIS LTDA,04.689.638/0001-32,02/09/2022,"DEPARTAMENTO DE ESTRADAS DE RODAGEM
DO DISTRITO FEDERAL",26/06/2023,Regular,Lei no 6.112/2018
"SEMPRE ALERTA AGENCIAMENTO DE
MÃO-DE-OBRA E SERVIÇOS GERAIS
LTDA","SEMPRE ALERTA AGENCIAMENTO DE
MÃO-DE-OBRA E SERVIÇOS GERAIS
LTDA","SEMPRE ALERTA AGENCIAMENTO DE
MÃO-DE-OBRA E SERVIÇOS GERAIS
LTDA",03.470.083/0001-70,06/01/2023,"SECRETARIA DE ESTADO DE ECONOMIA DO
DISTRITO FEDERAL",13/09/2023,Regular,Lei no 6.112/2018
